Part, cost ,Pkg,Used,Paid,source,URL
"Makergear M2 Heated bed (8""x10"", 12v, 100k thermistor)",$60.00 ,1,1,already had,MakerGear,https://www.makergear.com/collections/parts/products/hbp
Arduino Uno,$22.00 ,1,1,already had,Arduino,https://store.arduino.cc/usa/arduino-uno-rev3
single-side copper clad board (FR1),$1.40 ,1,1,already had,Global Laminates,http://www.globallaminates.com/
CAP CERAMIC 100PF 50V NP0 1206 ( 311-1161-1-ND),$0.05 ,1,2,already had,Digikey,https://www.digikey.com/
RES 1.00K OHM 1-4W 1% 1206 SMD (311-1.00KFRCT-ND),$0.01 ,1,2,already had,Digikey,https://www.digikey.com/
RES 10.0K OHM 1-4W 1% 1206 SMD (311-10.0KFRCT-ND),$0.01 ,1,2,already had,Digikey,https://www.digikey.com/
RES 4.7K OHM 1-4W 0.1% 1206 SMD (???),$0.10 ,1,4,$0.40 ,Digikey,https://www.digikey.com/
RES 0.0 OHM 1-4W 5% 1206 SMD (311-0.0ERCT-ND),$0.01 ,1,1,already had,Digikey,https://www.digikey.com/
MOSFET N-CH -30V 1.1A 3-SSOT (NDS355ANCT-ND),$0.26 ,1,2,$0.52 ,Digikey,https://www.digikey.com/
LED RED CLEAR 1206 SMD (160-1167-1-ND),$0.13 ,1,1,already had,Digikey,https://www.digikey.com/
SWITCH SLIDE SPDT 12V 100MA GW (401-2012-1-ND),$0.84 ,1,1,already had,Digikey,https://www.digikey.com/
"6 Positions Header Connector 0.100"" (2.54mm) Surface Mount (609-5161-1-ND)",$0.60 ,1,1,already had,Digikey,https://www.digikey.com/
"TH male header 0.1"" (40pos) (S1011EC-40-ND)",$0.65 ,1,1,already had,Digikey,https://www.digikey.com/
CBL RIBN 10COND 0.050 MULTI 50' (MC10M-50-ND),$38.07 ,50,2,already had,Digikey,https://www.digikey.com/
Adafruit Solid-Core Wire Spool - 25ft - 22AWG - Red [ADA288],$8.00 ,1,2,already had,Adafruit,https://www.adafruit.com/
Monochrome 128x32 SPI OLED graphic display (PN: 661),$17.50 ,1,1,$17.50 ,Adafruit,https://www.adafruit.com/product/661?gclid=Cj0KCQiAnOzSBRDGARIsAL-mUB0UxmXSmKbbwPi4A3MX2JmWAGuXBTT0bD9Az-z9lNOEn6oYUnN8mh4aApevEALw_wcB
XLX 50pcs Black Cap 7mm Mini Lockless SPST Momentary Micro ON Switch 2 Pin Push Button ( AC 120V/6A or AC 250V/3A ) Assortment Kit,$16.99 ,50,3,$1.02 ,Amazon,https://www.amazon.com/gp/product/B01MG5PPNV/ref=oh_aui_detailpage_o04_s00?ie=UTF8&psc=1
URBEST Inlet Module Plug 5A Fuse Switch Male Power Socket 10A 250V 3 Pin IEC320 C14,$6.99 ,1,1,$6.99 ,Amazon,https://www.amazon.com/gp/product/B00ME5YAPK/ref=oh_aui_detailpage_o05_s00?ie=UTF8&psc=1
Heat Bed Power Module SIMPZIA Add-on Hot Bed Power Expansion Board MOS Tube High Current Load Module for 3D Printer,$17.29 ,2,1,$8.65 ,Amazon,https://www.amazon.com/gp/product/B06XY5HBFX/ref=oh_aui_detailpage_o06_s00?ie=UTF8&psc=1
"eTopxizu 12v 30a Dc Universal Regulated Switching Power Supply 360w for CCTV, Radio, Computer Project",$18.96 ,1,1,$18.96 ,Amazon,https://www.amazon.com/gp/product/B00D7CWSCG/ref=oh_aui_detailpage_o06_s00?ie=UTF8&psc=1
"1/8"" birch plywood 12""x24""",$5.00 ,1,2,$10.00 ,Jo-Ann Fabrics,https://www.joann.com/
1/2 in. Self-Adhesive Vinyl Surface Bumpers (16 per Pack),$2.97 ,16,4,$0.74 ,Home Depot,https://www.homedepot.com/p/Everbilt-1-2-in-Self-Adhesive-Vinyl-Surface-Bumpers-16-per-Pack-49967/203661150
